"family","edge_lambda","edge_beta","Type"
"Calcariidae",0.249482651206859,4.26235351220979,"Monophyletic"
"Calcariidae",0.171977573031961,3.65036755844458,"Monophyletic"
"Calcariidae",0.173851403311362,3.83503800681689,"Monophyletic"
"Calcariidae",0.192020699744296,3.39106423002715,"Monophyletic"
"Calcariidae",0.192020699744296,3.38515879473598,"Monophyletic"
"Calcariidae",0.259396570063144,4.30687034109206,"Monophyletic"
"Calcariidae",0.179405514814155,3.69059809991151,"Monophyletic"
"Calcariidae",0.19032813881946,3.96537430971043,"Monophyletic"
"Calcariidae",0.137701301699611,3.55953582947996,"Monophyletic"
"Calcariidae",0.137390846766671,3.53385516059068,"Monophyletic"
"Icteridae",0.633842555408498,4.55173421004048,"Monophyletic"
"Icteridae",0.66332879747231,4.46587409879352,"Monophyletic"
"Icteridae",0.558436541901263,4.25425846875541,"Monophyletic"
"Icteridae",0.454595457509084,4.02211279960604,"Monophyletic"
"Icteridae",0.424314252493629,3.9470280626734,"Monophyletic"
"Icteridae",0.406299467411045,3.90048455048565,"Monophyletic"
"Icteridae",0.379400531533711,3.82882052268628,"Monophyletic"
"Icteridae",0.361256847680145,3.7789141912946,"Monophyletic"
"Icteridae",0.347891830854243,3.74026758514855,"Monophyletic"
"Icteridae",0.308376066856076,3.62175262163846,"Monophyletic"
"Icteridae",0.278522259432413,3.3624647696402,"Monophyletic"
"Icteridae",0.278522259432413,3.35730903066946,"Monophyletic"
"Icteridae",0.332226945422056,3.69397156442563,"Monophyletic"
"Icteridae",0.325332707714647,3.67348655295037,"Monophyletic"
"Icteridae",0.320929940415401,3.6606128740947,"Monophyletic"
"Icteridae",0.296508766854859,3.4124071709056,"Monophyletic"
"Icteridae",0.296508766854859,3.42483267735727,"Monophyletic"
"Icteridae",0.312839640152213,3.63577314576564,"Monophyletic"
"Icteridae",0.291593459339828,3.56925426427409,"Monophyletic"
"Icteridae",0.278576097012461,3.3675620743108,"Monophyletic"
"Icteridae",0.278576097012461,3.35873429935487,"Monophyletic"
"Icteridae",0.288879196077555,3.39202692372015,"Monophyletic"
"Icteridae",0.322889775007436,3.66654344460293,"Monophyletic"
"Icteridae",0.296827479093405,3.4157325936846,"Monophyletic"
"Icteridae",0.30552028619164,3.41613840393323,"Monophyletic"
"Icteridae",0.350716690399713,3.74869868832926,"Monophyletic"
"Icteridae",0.308172652705677,3.44367477951204,"Monophyletic"
"Icteridae",0.308172652705677,3.44465438487198,"Monophyletic"
"Icteridae",0.318694074021845,3.47486767082907,"Monophyletic"
"Icteridae",0.331646590898456,3.50473440213001,"Monophyletic"
"Icteridae",0.340580597648069,3.5491461226702,"Monophyletic"
"Icteridae",0.41005914742431,3.9092747953155,"Monophyletic"
"Icteridae",0.329258098157545,3.50297609425566,"Monophyletic"
"Icteridae",0.383097286703379,3.83705782359877,"Monophyletic"
"Icteridae",0.363235501458516,3.78158781787668,"Monophyletic"
"Icteridae",0.31150381999903,3.45276550545053,"Monophyletic"
"Icteridae",0.31150381999903,3.44665706188224,"Monophyletic"
"Icteridae",0.346359799265258,3.73161955469102,"Monophyletic"
"Icteridae",0.311572755390074,3.62566596336309,"Monophyletic"
"Icteridae",0.290305053909932,3.38154601691463,"Monophyletic"
"Icteridae",0.290305053909932,3.38589840136213,"Monophyletic"
"Icteridae",0.296444507451585,3.39793125984713,"Monophyletic"
"Icteridae",0.435969086938147,3.97603760109269,"Monophyletic"
"Icteridae",0.380059219626723,3.83326266695826,"Monophyletic"
"Icteridae",0.321647286548345,3.49760465222571,"Monophyletic"
"Icteridae",0.3258388474747,3.67560022270036,"Monophyletic"
"Icteridae",0.282940201479601,3.36766763399423,"Monophyletic"
"Icteridae",0.282940201479601,3.36605968091069,"Monophyletic"
"Icteridae",0.36129552529017,3.78178148063849,"Monophyletic"
"Icteridae",0.30293519288831,3.61051550789044,"Monophyletic"
"Icteridae",0.277169932331541,3.35300362866818,"Monophyletic"
"Icteridae",0.277169932331541,3.36832359825769,"Monophyletic"
"Icteridae",0.327507702083282,3.68399458209536,"Monophyletic"
"Icteridae",0.324430825605088,3.6749093703221,"Monophyletic"
"Icteridae",0.320660185261093,3.66364111695072,"Monophyletic"
"Icteridae",0.309766499315202,3.63025853778759,"Monophyletic"
"Icteridae",0.288402917234817,3.43181670643323,"Monophyletic"
"Icteridae",0.288402917234817,3.38571512209277,"Monophyletic"
"Icteridae",0.296636233577821,3.42227609033359,"Monophyletic"
"Icteridae",0.298739191173917,3.42001262485146,"Monophyletic"
"Icteridae",0.317849332481325,3.65493874883425,"Monophyletic"
"Icteridae",0.292547514295459,3.43531074535878,"Monophyletic"
"Icteridae",0.292547514295459,3.42419409484593,"Monophyletic"
"Icteridae",0.56748839375449,4.27558681882002,"Monophyletic"
"Icteridae",0.485995561474257,4.10002979744612,"Monophyletic"
"Icteridae",0.43738547518222,3.98183071988733,"Monophyletic"
"Icteridae",0.382719701885645,3.84028897091237,"Monophyletic"
"Icteridae",0.318461958860094,3.51044337856283,"Monophyletic"
"Icteridae",0.328636928189336,3.68299077387894,"Monophyletic"
"Icteridae",0.285109266225108,3.37289139918822,"Monophyletic"
"Icteridae",0.285109266225108,3.38720798227483,"Monophyletic"
"Icteridae",0.35191130034816,3.72486548061928,"Monophyletic"
"Icteridae",0.305756798179762,3.38657858948915,"Monophyletic"
"Icteridae",0.305756798179762,3.38071088642286,"Monophyletic"
"Icteridae",0.373889626002727,3.61199505245628,"Monophyletic"
"Icteridae",0.489778993170898,4.10884226990115,"Monophyletic"
